location;avg_daily_deaths_before_vax;avg_daily_deaths_after_vax
Afghanistan;6,533665835;1,25
Albania;5,340782123;8,310344828
Algeria;7,857142857;4
Andorra;0,316195373;0,125
Angola;1,48974359;1,875
Anguilla;NULL;NULL
Antigua and Barbuda;0,084210526;0
Argentina;145,2056962;174,5631068
Armenia;10,225;18
Aruba;NULL;NULL
Australia;2,539106145;0,014705882
Austria;20,14827586;34,896
Azerbaijan;9,337801609;25,2195122
Bahamas;0,508997429;0,166666667
Bahrain;1,383233533;2,38961039
Bangladesh;26,35195531;39,52941176
Barbados;0,073394495;0,3125
Belarus;6,383631714;9,2
Belgium;65,71428571;40,24590164
Belize;0,880555556;0,2
Benin;0,253846154;NULL
Bermuda;NULL;NULL
Bhutan;0,012820513;0
Bolivia;33,94594595;25,33846154
Bosnia and Herzegovina;20,91111111;82
Botswana;1,671794872;10
Brazil;734,2857143;1815,589474
Brunei;0,007575758;0
Bulgaria;25,40939597;74,80508475
Burkina Faso;0,383863081;NULL
Burundi;0,015665796;NULL
Cambodia;3;1,775510204
Cameroon;2,760598504;0
Canada;48,34642857;77,41304348
Cape Verde;0,539800995;0
Cayman Islands;NULL;NULL
Central African Republic;0,256559767;NULL
Chad;0,461956522;NULL
Chile;58,75539568;78,88976378
China;11,66262136;0,442307692
Colombia;177,3857567;205,0147059
Comoros;0,405555556;NULL
Congo;0,361323155;2
Costa Rica;7,468911917;15,81818182
Cote d'Ivoire;0,623229462;1,466666667
Croatia;14,77873563;32,3
Cuba;1,574572127;NULL
Curacao;NULL;NULL
Cyprus;0,742857143;1,1
Czechia;39,10714286;146,536
Democratic Republic of Congo;1,891358025;0
Denmark;3,989619377;10,73387097
Djibouti;0,361038961;4
Dominica;NULL;NULL
Dominican Republic;8,466145833;8,807692308
Ecuador;44,9463807;46,65
Egypt;31,75;43,66666667
El Salvador;5,460704607;4,037037037
Equatorial Guinea;0,297002725;0,428571429
Eritrea;0,076923077;NULL
Estonia;0,736462094;7,656
Eswatini;1,796246649;0,142857143
Ethiopia;9,405128205;20
Faeroe Islands;NULL;NULL
Falkland Islands;NULL;NULL
Fiji;0,007352941;0
Finland;1,886363636;3,397959184
France;198,6876972;336,2177419
Gabon;0,315;1,857142857
Gambia;0,435;0
Georgia;10,43631436;11,26086957
Germany;102,6462585;426,766129
Ghana;1,969543147;0,25
Gibraltar;NULL;NULL
Greece;17,01960784;47,02727273
Greenland;NULL;NULL
Grenada;0,009615385;0
Guatemala;18,13573407;19,54
Guernsey;NULL;NULL
Guinea;0,367847411;0,642857143
Guinea-Bissau;0,181081081;NULL
Guyana;0,701970443;1,222222222
Haiti;0,652956298;NULL
Honduras;13,06091371;19,28571429
Hong Kong;NULL;NULL
Hungary;35,19594595;147,6034483
Iceland;0,080555556;0
India;506,6571429;517,3861386
Indonesia;90,32248521;192,2051282
Iran;161,2042254;280,4545455
Iraq;36,53717026;38,16666667
Ireland;10,42121212;17,02325581
Isle of Man;NULL;NULL
Israel;11,15693431;24,85714286
Italy;231,0322581;393,496
Jamaica;1,875311721;3,714285714
Japan;20,22137405;45,04
Jersey;NULL;NULL
Jordan;20,95865633;55,76923077
Kazakhstan;8,46529563;3,416666667
Kenya;6,5;15,53846154
Kosovo;5,235588972;9
Kuwait;3,9453125;6
Kyrgyzstan;4,079283887;4,5
Laos;NULL;NULL
Latvia;2,288321168;12,63865546
Lebanon;12,07204611;44,12857143
Lesotho;1,071186441;0
Liberia;0,216836735;NULL
Libya;7,707379135;0
Liechtenstein;0,140794224;0,156521739
Lithuania;6,190140845;18,19327731
Luxembourg;1,6875;2,974025974
Macao;NULL;NULL
Madagascar;1,842406877;NULL
Malawi;3,087323944;1,529411765
Malaysia;3,249283668;6,098360656
Maldives;0,184397163;0,247058824
Mali;1,187341772;5
Malta;0,835664336;1,705882353
Marshall Islands;NULL;NULL
Mauritania;1,152284264;0,333333333
Mauritius;0,042183623;0
Mexico;436,0103448;766,6440678
Micronesia (country);NULL;NULL
Moldova;12,59139785;30,48648649
Monaco;0,081632653;0
Mongolia;0,73255814;1,405405405
Montenegro;3,028490028;8,150943396
Montserrat;NULL;NULL
Morocco;24,45747801;8,986842105
Mozambique;2,383480826;3
Myanmar;8,134860051;4
Namibia;2,03649635;4
Nauru;NULL;NULL
Nepal;9,59202454;6,333333333
Netherlands;42,12437811;24,42105263
New Zealand;0,079027356;0
Nicaragua;0,456140351;0
Niger;0,476309227;0
Nigeria;5,3359375;0,7
North Macedonia;10,66840731;34,95454545
Northern Cyprus;NULL;NULL
Norway;1,46366782;2,685483871
Oman;5,302670623;3,779661017
Pakistan;43,1175;78,88888889
Palestine;7,255319149;20,84
Panama;15,17630058;14,01428571
Papua New Guinea;0,388278388;0,333333333
Paraguay;10,11206897;49,4137931
Peru;131,6299694;230,425
Philippines;35,56603774;71,8
Poland;112,6464968;318,1287129
Portugal;23,00350877;83,344
Qatar;0,767705382;4,065217391
Romania;54,25622776;103,733871
Russia;246,502809;394,9038462
Rwanda;0,948717949;1,625
Saint Helena;NULL;NULL
Saint Kitts and Nevis;NULL;NULL
Saint Lucia;0,386666667;0,727272727
Saint Vincent and the Grenadines;0,11;0
Samoa;NULL;NULL
San Marino;0,197368421;0,340909091
Sao Tome and Principe;0,096418733;0
Saudi Arabia;19,56231003;7,040540541
Senegal;2,511904762;4,457627119
Serbia;13,12990937;26,52631579
Seychelles;0,23880597;0,24
Sierra Leone;0,217032967;0
Singapore;0,07751938;0
Slovakia;9,035842294;78,99137931
Slovenia;8,791666667;13,744
Solomon Islands;NULL;NULL
Somalia;1,842377261;0
South Africa;141,1846591;96,9375
South Korea;4,252010724;3,888888889
South Sudan;0,328571429;0
Spain;158,7565982;290,1204819
Sri Lanka;1,132132132;4,560606061
Sudan;5,729268293;0
Suriname;0,521505376;0,476190476
Sweden;35,05555556;7,904761905
Switzerland;27,72171254;16,49473684
Syria;3,98488665;10
Taiwan;0,024813896;0,054054054
Tajikistan;0,247252747;NULL
Tanzania;0,053030303;NULL
Thailand;0,235294118;3,171428571
Timor;0,125;0
Togo;0,305555556;0,5
Tonga;NULL;NULL
Trinidad and Tobago;0,386422977;1,105263158
Tunisia;23,77358491;51,40540541
Turkey;77,23026316;157,1037736
Turks and Caicos Islands;NULL;NULL
Uganda;1,384297521;0,179487179
Ukraine;81,78089888;289,8103448
United Arab Emirates;2,346938776;7,938053097
United Kingdom;259,8741935;425,3513514
United States;1146,055016;1882,211864
Uruguay;1,788690476;31,98412698
Uzbekistan;1,641221374;0,571428571
Vanuatu;0,1;NULL
Vatican;NULL;NULL
Venezuela;5,275949367;10,4
Vietnam;0,158371041;0
Yemen;3,349726776;NULL
Zambia;3,225974026;1
Zimbabwe;4,273809524;1,926470588
