location;death_rate_percentage
Timor;9,74E-06
Burundi;1,54E-05
Cambodia;1,86E-05
Vanuatu;1,89E-05
Vietnam;2,02E-05
Taiwan;2,71E-05
Tanzania;3,18E-05
Bhutan;3,48E-05
Eritrea;6,34E-05
Thailand;7,77E-05
Mongolia;0,000116748
Fiji;0,000127174
Papua New Guinea;0,000133848
Grenada;0,000258941
China;0,000298029
Uganda;0,000301096
Benin;0,000323584
Burkina Faso;0,000360723
Singapore;0,00038032
Niger;0,000381076
Democratic Republic of Congo;0,00038229
Cote d'Ivoire;0,000436357
New Zealand;0,000438778
Guinea;0,0004625
South Sudan;0,000485406
Nigeria;0,000487649
Chad;0,000544126
Togo;0,000566549
Brunei;0,000578013
Mozambique;0,000641453
Sri Lanka;0,000642126
Rwanda;0,000650482
Madagascar;0,000702868
Angola;0,000725447
Tajikistan;0,000769685
Mauritius;0,000781309
Sierra Leone;0,000790025
Mali;0,00091627
Ghana;0,000958036
Somalia;0,000968569
Central African Republic;0,000993184
Ethiopia;0,001059193
Uzbekistan;0,001092223
Malaysia;0,001161766
South Korea;0,001217855
Liberia;0,001266077
Congo;0,001394134
Cuba;0,00141407
Cameroon;0,001464771
Haiti;0,001515741
Saint Vincent and the Grenadines;0,001643347
Guinea-Bissau;0,001738894
Yemen;0,001740537
Kenya;0,001752394
Malawi;0,001758325
Nicaragua;0,001815624
Australia;0,002058986
Japan;0,002125162
Senegal;0,002165843
Zambia;0,002252815
Sudan;0,0022923
Venezuela;0,002364177
Myanmar;0,002407443
Gabon;0,002437378
Syria;0,00245801
Bangladesh;0,002890424
Pakistan;0,003123055
Zimbabwe;0,003163702
Nepal;0,003236545
Gambia;0,003428734
Afghanistan;0,003505682
Seychelles;0,003796681
Algeria;0,003898719
Barbados;0,004481332
Mauritania;0,004509585
Equatorial Guinea;0,004611181
Lesotho;0,004620908
Comoros;0,004802814
Botswana;0,004866992
Iceland;0,004881273
Philippines;0,005066752
Trinidad and Tobago;0,005169642
Djibouti;0,005307691
United Arab Emirates;0,005322152
Egypt;0,005338191
Indonesia;0,00548697
India;0,00579996
Maldives;0,005963254
Qatar;0,00613585
Saint Lucia;0,006156481
Norway;0,006254036
Jamaica;0,006561794
Namibia;0,006643902
Finland;0,007054522
Antigua and Barbuda;0,007397232
Sao Tome and Principe;0,007692507
Uruguay;0,00786414
Kazakhstan;0,009188535
Morocco;0,009413685
Cyprus;0,009532519
Belarus;0,010156196
Saudi Arabia;0,011176689
Guyana;0,012665507
Libya;0,013134418
Azerbaijan;0,013147559
Cape Verde;0,013536785
Bahrain;0,01393052
El Salvador;0,01399143
Kyrgyzstan;0,014241824
Kuwait;0,014637458
Suriname;0,014650827
Turkey;0,015835183
Palestine;0,015873114
Dominican Republic;0,016044185
Oman;0,016766674
Denmark;0,016830121
Guatemala;0,017026017
Estonia;0,017422481
Eswatini;0,018248443
Iraq;0,018818222
Jordan;0,019413558
Paraguay;0,019950578
Monaco;0,020152546
Lebanon;0,021629385
Honduras;0,022057017
Russia;0,022644861
Tunisia;0,023245669
Greece;0,023438223
Costa Rica;0,023644493
Bahamas;0,024446105
Albania;0,024637682
Malta;0,025389981
Latvia;0,025815727
Ukraine;0,025841269
Serbia;0,026173008
Israel;0,02621315
Germany;0,028203585
Canada;0,028575479
Georgia;0,029355373
Belize;0,029985891
South Africa;0,032475232
Austria;0,035432422
Iran;0,036856347
Lithuania;0,03759731
Kosovo;0,040076761
Slovakia;0,040478968
Poland;0,043032507
Ireland;0,044480587
Luxembourg;0,045235656
Romania;0,045636125
Argentina;0,045854219
Croatia;0,046266002
Liechtenstein;0,046993696
Moldova;0,047301537
Netherlands;0,049730912
Switzerland;0,050326417
Armenia;0,051183848
Ecuador;0,052840059
Portugal;0,05344507
Bolivia;0,053462946
Colombia;0,054321796
Bulgaria;0,057980693
Mexico;0,058445331
Chile;0,059362715
Slovenia;0,060000628
Hungary;0,060075536
France;0,062129648
Panama;0,06241699
Sweden;0,063601638
Brazil;0,065697436
Montenegro;0,066509668
North Macedonia;0,066688702
Bosnia and Herzegovina;0,067284172
Czechia;0,068499122
United States;0,069265736
Peru;0,071203676
Spain;0,078820397
Italy;0,081281057
United Kingdom;0,081467678
Andorra;0,086544018
Belgium;0,106471378
San Marino;0,144566377
