date;cumulative_deaths
2020-01-01 00:00:00.000;NULL
2020-01-02 00:00:00.000;NULL
2020-01-03 00:00:00.000;NULL
2020-01-04 00:00:00.000;NULL
2020-01-05 00:00:00.000;NULL
2020-01-06 00:00:00.000;NULL
2020-01-07 00:00:00.000;NULL
2020-01-08 00:00:00.000;NULL
2020-01-09 00:00:00.000;NULL
2020-01-10 00:00:00.000;NULL
2020-01-11 00:00:00.000;NULL
2020-01-12 00:00:00.000;NULL
2020-01-13 00:00:00.000;NULL
2020-01-14 00:00:00.000;NULL
2020-01-15 00:00:00.000;NULL
2020-01-16 00:00:00.000;NULL
2020-01-17 00:00:00.000;NULL
2020-01-18 00:00:00.000;NULL
2020-01-19 00:00:00.000;NULL
2020-01-20 00:00:00.000;NULL
2020-01-21 00:00:00.000;NULL
2020-01-22 00:00:00.000;17
2020-01-23 00:00:00.000;18
2020-01-24 00:00:00.000;26
2020-01-25 00:00:00.000;42
2020-01-26 00:00:00.000;56
2020-01-27 00:00:00.000;82
2020-01-28 00:00:00.000;131
2020-01-29 00:00:00.000;133
2020-01-30 00:00:00.000;171
2020-01-31 00:00:00.000;213
2020-02-01 00:00:00.000;259
2020-02-02 00:00:00.000;362
2020-02-03 00:00:00.000;426
2020-02-04 00:00:00.000;492
2020-02-05 00:00:00.000;564
2020-02-06 00:00:00.000;634
2020-02-07 00:00:00.000;719
2020-02-08 00:00:00.000;806
2020-02-09 00:00:00.000;906
2020-02-10 00:00:00.000;1013
2020-02-11 00:00:00.000;1113
2020-02-12 00:00:00.000;1118
2020-02-13 00:00:00.000;1371
2020-02-14 00:00:00.000;1523
2020-02-15 00:00:00.000;1666
2020-02-16 00:00:00.000;1770
2020-02-17 00:00:00.000;1868
2020-02-18 00:00:00.000;2008
2020-02-19 00:00:00.000;2123
2020-02-20 00:00:00.000;2246
2020-02-21 00:00:00.000;2250
2020-02-22 00:00:00.000;2457
2020-02-23 00:00:00.000;2467
2020-02-24 00:00:00.000;2627
2020-02-25 00:00:00.000;2707
2020-02-26 00:00:00.000;2767
2020-02-27 00:00:00.000;2810
2020-02-28 00:00:00.000;2867
2020-02-29 00:00:00.000;2936
2020-03-01 00:00:00.000;2990
2020-03-02 00:00:00.000;3079
2020-03-03 00:00:00.000;3154
2020-03-04 00:00:00.000;3249
2020-03-05 00:00:00.000;3343
2020-03-06 00:00:00.000;3454
2020-03-07 00:00:00.000;3558
2020-03-08 00:00:00.000;3797
2020-03-09 00:00:00.000;3987
2020-03-10 00:00:00.000;4261
2020-03-11 00:00:00.000;4604
2020-03-12 00:00:00.000;4910
2020-03-13 00:00:00.000;5407
2020-03-14 00:00:00.000;5827
2020-03-15 00:00:00.000;6463
2020-03-16 00:00:00.000;7146
2020-03-17 00:00:00.000;7959
2020-03-18 00:00:00.000;8865
2020-03-19 00:00:00.000;9976
2020-03-20 00:00:00.000;11462
2020-03-21 00:00:00.000;13183
2020-03-22 00:00:00.000;14869
2020-03-23 00:00:00.000;16818
2020-03-24 00:00:00.000;19106
2020-03-25 00:00:00.000;21916
2020-03-26 00:00:00.000;24951
2020-03-27 00:00:00.000;28439
2020-03-28 00:00:00.000;32169
2020-03-29 00:00:00.000;35688
2020-03-30 00:00:00.000;39769
2020-03-31 00:00:00.000;44517
2020-04-01 00:00:00.000;50512
2020-04-02 00:00:00.000;56399
2020-04-03 00:00:00.000;62560
2020-04-04 00:00:00.000;68474
2020-04-05 00:00:00.000;73662
2020-04-06 00:00:00.000;79600
2020-04-07 00:00:00.000;87858
2020-04-08 00:00:00.000;94669
2020-04-09 00:00:00.000;102453
2020-04-10 00:00:00.000;109831
2020-04-11 00:00:00.000;116003
2020-04-12 00:00:00.000;121862
2020-04-13 00:00:00.000;127828
2020-04-14 00:00:00.000;134796
2020-04-15 00:00:00.000;143269
2020-04-16 00:00:00.000;150528
2020-04-17 00:00:00.000;158921
2020-04-18 00:00:00.000;165066
2020-04-19 00:00:00.000;170299
2020-04-20 00:00:00.000;176170
2020-04-21 00:00:00.000;183443
2020-04-22 00:00:00.000;190307
2020-04-23 00:00:00.000;197135
2020-04-24 00:00:00.000;203905
2020-04-25 00:00:00.000;209533
2020-04-26 00:00:00.000;213512
2020-04-27 00:00:00.000;218258
2020-04-28 00:00:00.000;224836
2020-04-29 00:00:00.000;231561
2020-04-30 00:00:00.000;237402
2020-05-01 00:00:00.000;242553
2020-05-02 00:00:00.000;248048
2020-05-03 00:00:00.000;251559
2020-05-04 00:00:00.000;255771
2020-05-05 00:00:00.000;261594
2020-05-06 00:00:00.000;268099
2020-05-07 00:00:00.000;273409
2020-05-08 00:00:00.000;278961
2020-05-09 00:00:00.000;283186
2020-05-10 00:00:00.000;286745
2020-05-11 00:00:00.000;290231
2020-05-12 00:00:00.000;295716
2020-05-13 00:00:00.000;300848
2020-05-14 00:00:00.000;306017
2020-05-15 00:00:00.000;311238
2020-05-16 00:00:00.000;315414
2020-05-17 00:00:00.000;318601
2020-05-18 00:00:00.000;322364
2020-05-19 00:00:00.000;327011
2020-05-20 00:00:00.000;331790
2020-05-21 00:00:00.000;336449
2020-05-22 00:00:00.000;341693
2020-05-23 00:00:00.000;345619
2020-05-24 00:00:00.000;348635
2020-05-25 00:00:00.000;349847
2020-05-26 00:00:00.000;354089
2020-05-27 00:00:00.000;359144
2020-05-28 00:00:00.000;363696
2020-05-29 00:00:00.000;368304
2020-05-30 00:00:00.000;372328
2020-05-31 00:00:00.000;375020
2020-06-01 00:00:00.000;378093
2020-06-02 00:00:00.000;382770
2020-06-03 00:00:00.000;388202
2020-06-04 00:00:00.000;393236
2020-06-05 00:00:00.000;397814
2020-06-06 00:00:00.000;401583
2020-06-07 00:00:00.000;404323
2020-06-08 00:00:00.000;408025
2020-06-09 00:00:00.000;412799
2020-06-10 00:00:00.000;417842
2020-06-11 00:00:00.000;422482
2020-06-12 00:00:00.000;426691
2020-06-13 00:00:00.000;430807
2020-06-14 00:00:00.000;434207
2020-06-15 00:00:00.000;437623
2020-06-16 00:00:00.000;444333
2020-06-17 00:00:00.000;449480
2020-06-18 00:00:00.000;454390
2020-06-19 00:00:00.000;460456
2020-06-20 00:00:00.000;464565
2020-06-21 00:00:00.000;468579
2020-06-22 00:00:00.000;472141
2020-06-23 00:00:00.000;477358
2020-06-24 00:00:00.000;482533
2020-06-25 00:00:00.000;487225
2020-06-26 00:00:00.000;491973
2020-06-27 00:00:00.000;496436
2020-06-28 00:00:00.000;499602
2020-06-29 00:00:00.000;503280
2020-06-30 00:00:00.000;508165
2020-07-01 00:00:00.000;513110
2020-07-02 00:00:00.000;518185
2020-07-03 00:00:00.000;523112
2020-07-04 00:00:00.000;527516
2020-07-05 00:00:00.000;531005
2020-07-06 00:00:00.000;534850
2020-07-07 00:00:00.000;540817
2020-07-08 00:00:00.000;546092
2020-07-09 00:00:00.000;551499
2020-07-10 00:00:00.000;556798
2020-07-11 00:00:00.000;561616
2020-07-12 00:00:00.000;565603
2020-07-13 00:00:00.000;569514
2020-07-14 00:00:00.000;575111
2020-07-15 00:00:00.000;580557
2020-07-16 00:00:00.000;586329
2020-07-17 00:00:00.000;592997
2020-07-18 00:00:00.000;598594
2020-07-19 00:00:00.000;602675
2020-07-20 00:00:00.000;606885
2020-07-21 00:00:00.000;613054
2020-07-22 00:00:00.000;620001
2020-07-23 00:00:00.000;629889
2020-07-24 00:00:00.000;635919
2020-07-25 00:00:00.000;641488
2020-07-26 00:00:00.000;645201
2020-07-27 00:00:00.000;650384
2020-07-28 00:00:00.000;656649
2020-07-29 00:00:00.000;663256
2020-07-30 00:00:00.000;669306
2020-07-31 00:00:00.000;675492
2020-08-01 00:00:00.000;680947
2020-08-02 00:00:00.000;685273
2020-08-03 00:00:00.000;689959
2020-08-04 00:00:00.000;696489
2020-08-05 00:00:00.000;703540
2020-08-06 00:00:00.000;710031
2020-08-07 00:00:00.000;716319
2020-08-08 00:00:00.000;721733
2020-08-09 00:00:00.000;726305
2020-08-10 00:00:00.000;731658
2020-08-11 00:00:00.000;737857
2020-08-12 00:00:00.000;744425
2020-08-13 00:00:00.000;750639
2020-08-14 00:00:00.000;760777
2020-08-15 00:00:00.000;766133
2020-08-16 00:00:00.000;770397
2020-08-17 00:00:00.000;774577
2020-08-18 00:00:00.000;781384
2020-08-19 00:00:00.000;788111
2020-08-20 00:00:00.000;794183
2020-08-21 00:00:00.000;799621
2020-08-22 00:00:00.000;805119
2020-08-23 00:00:00.000;809073
2020-08-24 00:00:00.000;813579
2020-08-25 00:00:00.000;819865
2020-08-26 00:00:00.000;826091
2020-08-27 00:00:00.000;831985
2020-08-28 00:00:00.000;837514
2020-08-29 00:00:00.000;842835
2020-08-30 00:00:00.000;846879
2020-08-31 00:00:00.000;851056
2020-09-01 00:00:00.000;857457
2020-09-02 00:00:00.000;863566
2020-09-03 00:00:00.000;869250
2020-09-04 00:00:00.000;875119
2020-09-05 00:00:00.000;880059
2020-09-06 00:00:00.000;883904
2020-09-07 00:00:00.000;893277
2020-09-08 00:00:00.000;898191
2020-09-09 00:00:00.000;904296
2020-09-10 00:00:00.000;910100
2020-09-11 00:00:00.000;915951
2020-09-12 00:00:00.000;920832
2020-09-13 00:00:00.000;924547
2020-09-14 00:00:00.000;928987
2020-09-15 00:00:00.000;935413
2020-09-16 00:00:00.000;941193
2020-09-17 00:00:00.000;946661
2020-09-18 00:00:00.000;952329
2020-09-19 00:00:00.000;957608
2020-09-20 00:00:00.000;961347
2020-09-21 00:00:00.000;965449
2020-09-22 00:00:00.000;971421
2020-09-23 00:00:00.000;977031
2020-09-24 00:00:00.000;983685
2020-09-25 00:00:00.000;989588
2020-09-26 00:00:00.000;994933
2020-09-27 00:00:00.000;998620
2020-09-28 00:00:00.000;1002595
2020-09-29 00:00:00.000;1008497
2020-09-30 00:00:00.000;1014961
2020-10-01 00:00:00.000;1023676
2020-10-02 00:00:00.000;1028612
2020-10-03 00:00:00.000;1033975
2020-10-04 00:00:00.000;1037814
2020-10-05 00:00:00.000;1044761
2020-10-06 00:00:00.000;1050537
2020-10-07 00:00:00.000;1056373
2020-10-08 00:00:00.000;1062651
2020-10-09 00:00:00.000;1068801
2020-10-10 00:00:00.000;1073683
2020-10-11 00:00:00.000;1077716
2020-10-12 00:00:00.000;1081699
2020-10-13 00:00:00.000;1086985
2020-10-14 00:00:00.000;1093058
2020-10-15 00:00:00.000;1099173
2020-10-16 00:00:00.000;1105358
2020-10-17 00:00:00.000;1110955
2020-10-18 00:00:00.000;1114497
2020-10-19 00:00:00.000;1119333
2020-10-20 00:00:00.000;1125886
2020-10-21 00:00:00.000;1132516
2020-10-22 00:00:00.000;1138452
2020-10-23 00:00:00.000;1145423
2020-10-24 00:00:00.000;1151240
2020-10-25 00:00:00.000;1155451
2020-10-26 00:00:00.000;1160968
2020-10-27 00:00:00.000;1168340
2020-10-28 00:00:00.000;1175500
2020-10-29 00:00:00.000;1182586
2020-10-30 00:00:00.000;1190185
2020-10-31 00:00:00.000;1196763
2020-11-01 00:00:00.000;1201773
2020-11-02 00:00:00.000;1207876
2020-11-03 00:00:00.000;1217221
2020-11-04 00:00:00.000;1227472
2020-11-05 00:00:00.000;1235485
2020-11-06 00:00:00.000;1245146
2020-11-07 00:00:00.000;1252746
2020-11-08 00:00:00.000;1258620
2020-11-09 00:00:00.000;1265843
2020-11-10 00:00:00.000;1275836
2020-11-11 00:00:00.000;1286287
2020-11-12 00:00:00.000;1296053
2020-11-13 00:00:00.000;1305641
2020-11-14 00:00:00.000;1314723
2020-11-15 00:00:00.000;1321147
2020-11-16 00:00:00.000;1329101
2020-11-17 00:00:00.000;1340172
2020-11-18 00:00:00.000;1351585
2020-11-19 00:00:00.000;1362617
2020-11-20 00:00:00.000;1374504
2020-11-21 00:00:00.000;1383476
2020-11-22 00:00:00.000;1390670
2020-11-23 00:00:00.000;1399196
2020-11-24 00:00:00.000;1411856
2020-11-25 00:00:00.000;1423987
2020-11-26 00:00:00.000;1434875
2020-11-27 00:00:00.000;1446262
2020-11-28 00:00:00.000;1455544
2020-11-29 00:00:00.000;1462704
2020-11-30 00:00:00.000;1471584
2020-12-01 00:00:00.000;1484268
2020-12-02 00:00:00.000;1496854
2020-12-03 00:00:00.000;1509426
2020-12-04 00:00:00.000;1521946
2020-12-05 00:00:00.000;1532234
2020-12-06 00:00:00.000;1539662
2020-12-07 00:00:00.000;1548375
2020-12-08 00:00:00.000;1560653
2020-12-09 00:00:00.000;1573372
2020-12-10 00:00:00.000;1586068
2020-12-11 00:00:00.000;1599095
2020-12-12 00:00:00.000;1609637
2020-12-13 00:00:00.000;1617094
2020-12-14 00:00:00.000;1626264
2020-12-15 00:00:00.000;1640215
2020-12-16 00:00:00.000;1653874
2020-12-17 00:00:00.000;1667322
2020-12-18 00:00:00.000;1680109
2020-12-19 00:00:00.000;1690878
2020-12-20 00:00:00.000;1698792
2020-12-21 00:00:00.000;1708435
2020-12-22 00:00:00.000;1722748
2020-12-23 00:00:00.000;1736554
2020-12-24 00:00:00.000;1748183
2020-12-25 00:00:00.000;1756782
2020-12-26 00:00:00.000;1764180
2020-12-27 00:00:00.000;1771579
2020-12-28 00:00:00.000;1781334
2020-12-29 00:00:00.000;1796498
2020-12-30 00:00:00.000;1811758
2020-12-31 00:00:00.000;1824927
2021-01-01 00:00:00.000;1834589
2021-01-02 00:00:00.000;1843021
2021-01-03 00:00:00.000;1850362
2021-01-04 00:00:00.000;1860509
2021-01-05 00:00:00.000;1875843
2021-01-06 00:00:00.000;1890895
2021-01-07 00:00:00.000;1905832
2021-01-08 00:00:00.000;1920997
2021-01-09 00:00:00.000;1933781
2021-01-10 00:00:00.000;1942128
2021-01-11 00:00:00.000;1952451
2021-01-12 00:00:00.000;1969554
2021-01-13 00:00:00.000;1986258
2021-01-14 00:00:00.000;2001627
2021-01-15 00:00:00.000;2016737
2021-01-16 00:00:00.000;2029985
2021-01-17 00:00:00.000;2038647
2021-01-18 00:00:00.000;2048073
2021-01-19 00:00:00.000;2064655
2021-01-20 00:00:00.000;2082561
2021-01-21 00:00:00.000;2099349
2021-01-22 00:00:00.000;2115368
2021-01-23 00:00:00.000;2128662
2021-01-24 00:00:00.000;2137630
2021-01-25 00:00:00.000;2148394
2021-01-26 00:00:00.000;2165701
2021-01-27 00:00:00.000;2182380
2021-01-28 00:00:00.000;2199429
2021-01-29 00:00:00.000;2214375
2021-01-30 00:00:00.000;2227961
2021-01-31 00:00:00.000;2235948
2021-02-01 00:00:00.000;2246166
2021-02-02 00:00:00.000;2261001
2021-02-03 00:00:00.000;2276728
2021-02-04 00:00:00.000;2289261
2021-02-05 00:00:00.000;2305832
2021-02-06 00:00:00.000;2315969
2021-02-07 00:00:00.000;2323954
2021-02-08 00:00:00.000;2332286
2021-02-09 00:00:00.000;2347822
2021-02-10 00:00:00.000;2361225
2021-02-11 00:00:00.000;2374698
2021-02-12 00:00:00.000;2387171
2021-02-13 00:00:00.000;2396976
2021-02-14 00:00:00.000;2403338
2021-02-15 00:00:00.000;2410231
2021-02-16 00:00:00.000;2421147
2021-02-17 00:00:00.000;2432485
2021-02-18 00:00:00.000;2443855
2021-02-19 00:00:00.000;2454903
2021-02-20 00:00:00.000;2463415
2021-02-21 00:00:00.000;2469293
2021-02-22 00:00:00.000;2476242
2021-02-23 00:00:00.000;2487422
2021-02-24 00:00:00.000;2499424
2021-02-25 00:00:00.000;2509589
2021-02-26 00:00:00.000;2519839
2021-02-27 00:00:00.000;2527979
2021-02-28 00:00:00.000;2533413
2021-03-01 00:00:00.000;2540619
2021-03-02 00:00:00.000;2551053
2021-03-03 00:00:00.000;2562126
2021-03-04 00:00:00.000;2571904
2021-03-05 00:00:00.000;2581921
2021-03-06 00:00:00.000;2589753
2021-03-07 00:00:00.000;2595027
2021-03-08 00:00:00.000;2601887
2021-03-09 00:00:00.000;2611868
2021-03-10 00:00:00.000;2621557
2021-03-11 00:00:00.000;2631322
2021-03-12 00:00:00.000;2640949
2021-03-13 00:00:00.000;2648933
2021-03-14 00:00:00.000;2654431
2021-03-15 00:00:00.000;2661251
